box_idx,x1,y1,x2,y2,det_conf,clip_brand,clip_score
0,9,882,189,1019,0.928,Britannia,0.318
1,7,630,177,793,0.925,Parle,0.343
2,1104,41,1257,242,0.921,Cheetos,0.353
3,1258,636,1417,796,0.920,Oreo,0.302
4,1273,886,1433,1020,0.918,Britannia,0.309
5,186,641,348,786,0.918,Parle,0.373
6,5,19,138,242,0.916,Lay's,0.333
7,625,875,868,1018,0.913,Hide & Seek,0.349
8,1265,21,1420,243,0.910,Cheetos,0.360
9,196,883,385,1018,0.908,Britannia,0.279
10,1107,885,1266,1019,0.908,Dark Fantasy,0.296
11,773,31,926,242,0.907,Doritos,0.320
12,883,632,1068,796,0.906,Britannia,0.354
13,932,32,1088,242,0.905,Doritos,0.342
14,620,627,743,793,0.902,Good Day,0.372
15,748,630,874,794,0.900,Good Day,0.418
16,445,17,586,241,0.900,Lay's,0.306
17,485,625,614,790,0.897,Good Day,0.398
18,160,327,297,546,0.895,Kurkure,0.402
19,301,19,437,241,0.894,Lay's,0.321
20,147,18,288,239,0.892,Lay's,0.343
21,604,37,760,243,0.891,Doritos,0.329
22,1240,317,1324,553,0.888,Pringles,0.349
23,351,644,478,792,0.886,Parle,0.353
24,879,881,1094,1016,0.883,Dark Fantasy,0.322
25,1080,635,1251,797,0.879,Oreo,0.329
26,1033,330,1156,548,0.875,Bingo,0.327
27,13,326,152,545,0.867,Kurkure,0.375
28,408,874,603,1017,0.863,Hide & Seek,0.379
29,1161,317,1237,551,0.857,Pringles,0.366
30,455,326,606,548,0.841,Uncle Chipps,0.371
31,304,329,446,546,0.818,Kurkure,0.394
32,913,331,1030,549,0.808,Bingo,0.351
33,1329,315,1414,552,0.799,Pringles,0.296
34,775,329,906,550,0.715,Bingo,0.343
35,618,328,765,437,0.691,Uncle Chipps,0.359
36,619,439,762,549,0.650,Uncle Chipps,0.308
37,1431,633,1448,799,0.407,Other,0.226
